AK-47	T	$2700 	$300 	9	215	600	36	360	77.50%	2	8192	30	90	1.2	2.5	30	0	70	0.6	175.06	6.41	4.81
AUG	CT	$3300 	$300 	11	220	667	28	311	90.00%	2	8192	30	90	1.5	3.8	26	0	60	0.5	135.45	3.85	2.88
AWP	T	$4750 	$100 	47.5	200	41	115	79	97.50%	3	8192	10	30	2	3.7	78	15	20	0.2	176.48	80.8	60.6
CZ75Auto	T	$500 	$300 	1.67	240	600	33	300	77.65%	1	4096	12	12	0	2.9	27	10	180	3	13.41	10.43	7.6
DesertEagle	T	$700 	$300 	2.33	230	267	63	280	93.20%	2	4096	7	35	0.88	2.3	48.2	18	60	2	48.1	4.2	2.18
DualBerettas	T	$500 	$300 	1.67	240	500	38	317	52.50%	1	4096	30	120	3	3.82	27	4	20	2	17.85	7	5.25
FAMAS	CT	$2250 	$300 	7.5	220	667	30	333	70.00%	2	8192	25	90	1.56	3.35	20	1	60	0.6	99.34	9.85	7.39
Five-SeveN	CT	$500 	$300 	1.67	240	400	32	213	91.15%	1	4096	20	100	1	2.3	25	4	5	2	13.41	9.1	6.83
G3SG1	T	$5000 	$300 	16.67	215	240	80	320	82.50%	3	8192	20	90	2.6	4.7	30	4	30	0.3	150.48	25.8	19.35
GalilAR	T	$2000 	$300 	6.67	215	667	30	333	77.50%	2	8192	35	90	1.2	3.05	21	1	70	0.6	123.56	8.77	6.58
Glock18	T	$200 	$300 	0.67	240	400	28	187	47.00%	1	4096	20	120	1	2.3	18	0	20	2	12	5.6	4.2
M249	T	$5200 	$300 	17.33	195	750	32	400	80.00%	2	8192	100	200	3.75	5.73	25	2	50	2	156.25	7.7	5.34
M4A4	CT	$3100 	$300 	10.33	225	667	33	367	70.00%	2	8192	30	90	1.55	3.15	23	0	70	0.6	137.88	4.9	3.68
M4A4-S	CT	$3100 	$300 	10.33	225	667	33	367	70.00%	2	8192	20	40	1.55	3.15	25	3	65	0.6	92.88	4.9	3.68
MAC-10	T	$1050 	$600 	1.75	240	800	29	387	47.50%	1	3600	30	100	1.3	2.6	18	1	70	1	24.99	13.3	9.98
MAG-7	CT	$1800 	$900 	2	225	71	30	282	75.00%	1	1400	5	32	1.15	2.5	165	25	20	40	15.99	7	5.25
MP7	T	$1700 	$600 	2.83	220	750	29	363	52.50%	1	3600	30	120	1.5	3.15	16	1	70	0.77	39.86	11.87	8.92
MP9	CT	$1250 	$600 	2.08	240	857	26	371	50.00%	1	3600	30	120	0.9	2.25	19	1	70	0.75	19.04	14	10.5
Negev	T	$5700 	$300 	19	195	1000	35	583	75.00%	2	8192	150	200	3.9	5.73	22	2	50	2	159.14	10.17	7.63
Nova	T	$1200 	$900 	1.33	220	68	26	266	50.00%	0	3000	8	32	1	0	143	22	20	40	36.75	7	5.25
P2000	CT	$200 	$300 	0.67	240	353	35	206	50.50%	1	4096	13	62	1	2.3	26	0	0	2	13	4.9	3.68
P250	T	$300 	$300 	1	240	400	35	233	77.65%	1	4096	13	52	1	2.3	26	3	10	2	13.41	9.1	6.83
P90	T	$2350 	$300 	7.83	230	857	26	371	65.00%	1	3700	50	100	1.95	3.4	16	1	70	1	31	13.65	10.24
PP-Bizon	T	$1400 	$600 	2.33	240	750	27	338	47.50%	1	3600	64	120	1.15	2.5	18	1	70	1	27.57	14	10.5
Sawed-Off	T	$1200 	$900 	1.33	210	71	32	301	75.00%	1	650	7	32	1.02	0	143	22	20	62	16.8	7	5.25
SCAR-20	CT	$5000 	$300 	16.67	215	240	80	320	82.50%	3	8192	20	90	1.4	3.1	31	4	30	0.3	150.48	25.8	19.35
SG553	T	$3000 	$300 	10	210	667	30	333	100.00%	2	8192	30	90	1	2.8	28	2	60	0.5	136.01	3.78	2.84
SSG08	T	$1700 	$300 	5.67	230	48	88	70	85.00%	3	8192	10	90	2	3.7	33	15	20	0.28	123.45	31.7	23.78
Tec-9	T	$500 	$300 	1.67	240	500	33	275	90.60%	1	4096	32	120	1.4	2.7	23	3	60	2	3.81	9.43	7.57
UMP-45	T	$1200 	$600 	2	230	667	35	389	55.00%	1	3700	25	100	1.5	3.5	23	1	40	1	28.76	13.43	10.07
USP-S	CT	$200 	$300 	0.67	240	353	35	206	50.50%	1	4096	12	24	0	2.5	29	0	0	2.5	13.87	4.9	3.68
XM1014	T	$2000 	$900 	2.22	215	171	20	343	80.00%	1	3000	7	32	1.08	4.2	80	20	20	38	36.03	7	5.25
