AK-47	T	$2700	36	360	77.50%	2
AUG	CT	$3300	28	311	90.00%	2
AWP	T	$4750	115	79	97.50%	3
CZ75Auto	T	$500	33	300	77.65%	1
DesertEagle	T	$700	63	280	93.20%	2
DualBerettas	T	$500	38	317	52.50%	1
FAMAS	CT	$2250	30	333	70.00%	2
Five-SeveN	CT	$500	32	213	91.15%	1
G3SG1	T	$5000	80	320	82.50%	3
GalilAR	T	$2000	30	333	77.50%	2
Glock18	T	$200	28	187	47.00%	1
M249	T	$5200	32	400	80.00%	2
M4A4	CT	$3100	33	367	70.00%	2
M4A4-S	CT	$3100	33	367	70.00%	2
MAC-10	T	$1050	29	387	47.50%	1
MAG-7	CT	$1800	30	282	75.00%	1
MP7	T	$1700	29	363	52.50%	1
MP9	CT	$1250	26	371	50.00%	1
Negev	T	$5700	35	583	75.00%	2
Nova	T	$1200	26	266	50.00%	0
P2000	CT	$200	35	206	50.50%	1
P250	T	$300	35	233	77.65%	1
P90	T	$2350	26	371	65.00%	1
PP-Bizon	T	$1400	27	338	47.50%	1
Sawed-Off	T	$1200	32	301	75.00%	1
SCAR-20	CT	$5000	80	320	82.50%	3
SG553	T	$3000	30	333	100.00%	2
SSG08	T	$1700	88	70	85.00%	3
Tec-9	T	$500	33	275	90.60%	1
UMP-45	T	$1200	35	389	55.00%	1
USP-S	CT	$200	35	206	50.50%	1
XM1014	T	$2000	20	343	80.00%	1
